title,city,price,link
Продам карликового пуделя,"Кемеровская область, Беловский г.о., Белово",23 000  ₽,https://www.avito.ru//belovo/sobaki/prodam_karlikovogo_pudelya_1919826818
Пудель той,"Челябинская область, Челябинск",65 000  ₽,https://www.avito.ru//chelyabinsk/sobaki/pudel_toy_1924417124
Той пудель мальчик,"Республика Татарстан, Казань",Цена не указана,https://www.avito.ru//kazan/sobaki/toy_pudel_malchik_1896395464
Той-пудель,"Краснодарский край, Краснодар",Цена не указана,https://www.avito.ru//krasnodar/sobaki/toy-pudel_1934899896
Возьму девочку той пуделя до 15т,"Ростовская область, Неклиновский р-н, с. Приморка",15  ₽,https://www.avito.ru//primorka/sobaki/vozmu_devochku_toy_pudelya_do_15t_1938683457
Той-пудель,Москва,Цена не указана,https://www.avito.ru//moskva/sobaki/toy-pudel_1226945437
Той-пудель,"Оренбургская область, Оренбург",Бесплатно,https://www.avito.ru//orenburg/sobaki/toy-pudel_1891606442
Той-пудель,"Волгоградская область, Волгоград",Цена не указана,https://www.avito.ru//volgograd/sobaki/toy-pudel_1871560464
Той Пудель,"Ставропольский край, Минераловодский г.о., Минеральные Воды",Цена не указана,https://www.avito.ru//mineralnye_vody/sobaki/toy_pudel_1924508813
Той пудель. арлекин,Москва,40 000  ₽,https://www.avito.ru//moskva/sobaki/toy_pudel._arlekin_1920469566
Той пудель,"Краснодарский край, Краснодар",Цена не указана,https://www.avito.ru//krasnodar/sobaki/toy_pudel_1627411756
Той Пудель,"Ставропольский край, Пятигорск",Цена не указана,https://www.avito.ru//pyatigorsk/sobaki/toy_pudel_1924630577
Той пудель,"Красноярский край, Красноярск",15 000  ₽,https://www.avito.ru//krasnoyarsk/sobaki/toy_pudel_1943789948
Той-пудель девочка белая,"Краснодарский край, Краснодар",Цена не указана,https://www.avito.ru//krasnodar/sobaki/toy-pudel_devochka_belaya_1838372261
Той-пудель,"Краснодарский край, Кавказский р-н, Кропоткинское городское поселение, Кропоткин",5 000  ₽,https://www.avito.ru//kropotkin/sobaki/toy-pudel_1941660893
Той пудели красный и абрикос,"Республика Татарстан, Казань",Цена не указана,https://www.avito.ru//kazan/sobaki/toy_pudeli_krasnyy_i_abrikos_1855398651
Той-пудель,"Московская область, Люберцы",Цена не указана,https://www.avito.ru//lyubertsy/sobaki/toy-pudel_1904912379
