title,city,price,link
Карликовые пудели,Санкт-Петербург,Цена не указана,https://www.avito.ru//sankt-peterburg/sobaki/karlikovye_pudeli_1039035356
Собака карликовый пинчер,"Иркутская область, Тулун",5 500  ₽,https://www.avito.ru//tulun/sobaki/sobaka_karlikovyy_pincher_1935047203
Фантом,"Смоленская область, Смоленск",Цена не указана,https://www.avito.ru//smolensk/sobaki/fantom_1672303801
Женихи,"Липецкая область, Липецк",3 000  ₽,https://www.avito.ru//lipetsk/sobaki/zhenihi_1715398763
Парень арлекин,"Челябинская область, Челябинск",35 000  ₽,https://www.avito.ru//chelyabinsk/sobaki/paren_arlekin_1831600505
Собака,"Кемеровская область, Мысковский г.о., Мыски",1  ₽,https://www.avito.ru//myski/sobaki/sobaka_1894253802
Серебристая девочка пудель,Москва,60 000  ₽,https://www.avito.ru//moskva/sobaki/serebristaya_devochka_pudel_1772847957
Окрас серебро,"Смоленская область, Смоленск",Цена не указана,https://www.avito.ru//smolensk/sobaki/okras_serebro_1673672121
Ищу жениха,"Краснодарский край, Курганинский р-н, Курганинск",100  ₽,https://www.avito.ru//kurganinsk/sobaki/ischu_zheniha_1429876051
Ищу невесту,"Ростовская область, Аксайский р-н, СТ Глобус",Цена не указана,https://www.avito.ru//rostov-na-donu/sobaki/ischu_nevestu_1769316459
Красная девочка 20.01.2020,Москва,65 000  ₽,https://www.avito.ru//moskva/sobaki/krasnaya_devochka_20.01.2020_1693271495
Мальтипу девочка мини,Москва,185 000  ₽,https://www.avito.ru//moskva/sobaki/maltipu_devochka_mini_1925879924
Крошка-арлекинка,Москва,80 000  ₽,https://www.avito.ru//moskva/sobaki/kroshka-arlekinka_1942473888
Мальчик мальтипу 5.5мес,"Тверская область, Тверь",25 000  ₽,https://www.avito.ru//tver/sobaki/malchik_maltipu_5.5mes_1894468750
Ищем невесту.Ждем в гости,"Воронежская область, Воронеж",1  ₽,https://www.avito.ru//voronezh/sobaki/ischem_nevestu.zhdem_v_gosti_1947777627
Очень маленькие девочки и мальчики,"Смоленская область, Смоленск",Цена не указана,https://www.avito.ru//smolensk/sobaki/ochen_malenkie_devochki_i_malchiki_1197461695
Отдам собачку,"Краснодарский край, Кавказский р-н, Кропоткинское городское поселение, Кропоткин",1  ₽,https://www.avito.ru//kropotkin/sobaki/otdam_sobachku_1917772766
Подрощенные пудели с РКФ и без,Москва,20 000  ₽,https://www.avito.ru//moskva/sobaki/podroschennye_pudeli_s_rkf_i_bez_1908569663
Миниатюрный красный пудель для вязок,Москва,Цена не указана,https://www.avito.ru//moskva/sobaki/miniatyurnyy_krasnyy_pudel_dlya_vyazok_1086483384
Ищем жениха,"Челябинская область, Челябинск",Цена не указана,https://www.avito.ru//chelyabinsk/sobaki/ischem_zheniha_1121050510
Миниатюрная черно-подпалая девочка (фантом),Санкт-Петербург,60 000  ₽,https://www.avito.ru//sankt-peterburg/sobaki/miniatyurnaya_cherno-podpalaya_devochka_fantom_1935460941
Собака,"Свердловская область, г.о. Верхний Тагил",1  ₽,https://www.avito.ru//verhniy_tagil/sobaki/sobaka_1905744963
Мальтипу,Москва,130 000  ₽,https://www.avito.ru//moskva/sobaki/maltipu_1919223216
Кобель для вязок,"Хабаровский край, Комсомольск-на-Амуре",Цена не указана,https://www.avito.ru//komsomolsk-na-amure/sobaki/kobel_dlya_vyazok_1858375454
Кобели красного окраса,"Калужская область, Калуга",Цена не указана,https://www.avito.ru//kaluga/sobaki/kobeli_krasnogo_okrasa_927224703
Собака,Москва,1 000  ₽,https://www.avito.ru//moskva/sobaki/sobaka_1946395416
Предлагаем кобеля для вязок,"Кировская область, Киров",Бесплатно,https://www.avito.ru//kirovskaya_oblast_kirov/sobaki/predlagaem_kobelya_dlya_vyazok_1186089899
"Парень, чемпион России,чемпион РКФ","Челябинская область, Челябинск",3 000  ₽,https://www.avito.ru//chelyabinsk/sobaki/paren_chempion_rossiichempion_rkf_881828434
Мальчик для вязок,"Пермский край, Пермь",Цена не указана,https://www.avito.ru//perm/sobaki/malchik_dlya_vyazok_1875327387
Дизайнерская собачка,Санкт-Петербург,100 000  ₽,https://www.avito.ru//sankt-peterburg/sobaki/dizaynerskaya_sobachka_1942881438
Подростки пуделя,Москва,20 000  ₽,https://www.avito.ru//moskva/sobaki/podrostki_pudelya_1908002248
Мальтипу девочка,Москва,150 000  ₽,https://www.avito.ru//moskva/sobaki/maltipu_devochka_1925508330
Щенки,"Пермский край, Пермь",Цена не указана,https://www.avito.ru//perm/sobaki/schenki_1907715595
Тикапы подростки,"Свердловская область, Екатеринбург",60 000  ₽,https://www.avito.ru//ekaterinburg/sobaki/tikapy_podrostki_1946394721
Мальтипу мальчик абрикосик,Москва,150 000  ₽,https://www.avito.ru//moskva/sobaki/maltipu_malchik_abrikosik_1925159982
Мальтипу мальчик стандарт крем,Москва,130 000  ₽,https://www.avito.ru//moskva/sobaki/maltipu_malchik_standart_krem_1925929783
Щенки,"Кабардино-Балкарская Республика, г.о. Прохладный",1 500  ₽,https://www.avito.ru//prohladnyy/sobaki/schenki_1929567601
Отдам небольшую собачку,"Кемеровская область, Кемеровский муниципальный округ, д. Сухово",Цена не указана,https://www.avito.ru//kemerovo/sobaki/otdam_nebolshuyu_sobachku_1931782276
Мальтипу мальчики,Москва,130 000  ₽,https://www.avito.ru//moskva/sobaki/maltipu_malchiki_1947788393
"Мальтипу, питомник",Москва,Цена не указана,https://www.avito.ru//moskva/sobaki/maltipu_pitomnik_941205061
Подарок для любимых,"Свердловская область, Екатеринбург",30 000  ₽,https://www.avito.ru//ekaterinburg/sobaki/podarok_dlya_lyubimyh_1882497424
Щенок,"Кабардино-Балкарская Республика, г.о. Прохладный",500  ₽,https://www.avito.ru//prohladnyy/sobaki/schenok_1929816128
Мальтипу,Санкт-Петербург,100 000  ₽,https://www.avito.ru//sankt-peterburg/sobaki/maltipu_1942800814
Маленькая собачка из приюта для квартиры,Москва,1  ₽,https://www.avito.ru//moskva/sobaki/malenkaya_sobachka_iz_priyuta_dlya_kvartiry_1908516460
Продам маленькую собачку,"Московская область, Егорьевск",5 000  ₽,https://www.avito.ru//egorevsk/sobaki/prodam_malenkuyu_sobachku_1944237867
